Image,Cytoplasm_Threshold,Nucleus_Threshold,Dice_Score,Accuracy
135.bmp,181.4,80.49,0.9309,0.9335
136.bmp,177.66,84.19,0.9687,0.9627
137.bmp,182.79,88.09,0.9554,0.9531
138.bmp,201.6,111.67,0.7361,0.8845
139.bmp,201.67,107.57,0.8647,0.9253
140.bmp,193.02,108.6,0.9664,0.9713
141.bmp,188.24,94.73,0.9052,0.9269
142.bmp,193.58,94.78,0.9639,0.965
143.bmp,182.53,101.08,0.9797,0.918
144.bmp,191.46,106.18,0.9484,0.9422
145.bmp,186.69,96.57,0.949,0.9564
146.bmp,192.95,110.73,0.9524,0.9623
147.bmp,191.01,95.29,0.958,0.964
148.bmp,192.46,99.96,0.9823,0.9814
149.bmp,166.64,58.07,0.9716,0.8704
150.bmp,194.49,111.19,0.9397,0.9497
151.bmp,193.8,116.5,0.962,0.9664
152.bmp,188.13,104.01,0.9761,0.9701
153.bmp,183.35,94.3,0.954,0.9363
154.bmp,195.63,112.14,0.9669,0.9695
155.bmp,189.27,85.55,0.9606,0.9692
156.bmp,203.38,107.28,0.9773,0.9832
157.bmp,191.47,87.4,0.9612,0.9674
158.bmp,187.31,77.84,0.972,0.9683
159.bmp,196.22,90.74,0.9208,0.9236
160.bmp,185.36,77.93,0.9558,0.9624
161.bmp,188.98,84.62,0.9343,0.9453
162.bmp,192.98,88.99,0.9592,0.9549
163.bmp,196.78,91.04,0.938,0.9351
164.bmp,176.45,107.88,0.8608,0.8934
165.bmp,193.47,92.52,0.9405,0.9572
166.bmp,187.93,90.87,0.984,0.9651
167.bmp,197.55,105.18,0.9109,0.9426
168.bmp,194.06,102.38,0.9463,0.9511
169.bmp,202.27,107.76,0.9737,0.9783
170.bmp,189.84,92.68,0.9733,0.967
171.bmp,184.1,85.26,0.9807,0.9622
172.bmp,195.67,99.42,0.9382,0.9575
173.bmp,194.75,91.47,0.9594,0.9572
174.bmp,178.37,73.62,0.9708,0.9593
175.bmp,176.27,71.17,0.9591,0.9507
176.bmp,208.03,138.22,0.9833,0.973
177.bmp,168.69,78.96,0.9745,0.9534
178.bmp,168.55,81.85,0.9786,0.9728
179.bmp,184.72,97.06,0.9669,0.968
180.bmp,170.6,64.9,0.9549,0.9431
181.bmp,190.43,92.41,0.9553,0.9622
182.bmp,185.65,87.38,0.9651,0.9673
183.bmp,186.89,88.54,0.9645,0.9642
184.bmp,189.69,88.2,0.9866,0.983
185.bmp,201.92,102.03,0.9728,0.9731
186.bmp,196.0,100.94,0.9692,0.9723
187.bmp,187.4,86.88,0.9305,0.9473
