Class,Nucleus_Area,Cytoplasm_Area,Nucleus/Cell_Ratio,Cytoplasm/Cell_Ratio,Aspect_Ratio,Extent,Solidity,Circularity,Estimated_Lobes,HSV_H_Total,HSV_S_Total,HSV_V_Total,HSV_H_Nucleus,HSV_S_Nucleus,HSV_V_Nucleus,HSV_H_Cytoplasm,HSV_S_Cytoplasm,HSV_V_Cytoplasm
Basophil,4879.0,11505.0,0.29779052734375,0.70220947265625,1.0,0.4106556687147547,0.612285875635314,0.16174955641709096,6,68.17791748046875,65.51220703125,166.023681640625,128.8383715631171,81.01488682971289,135.53106486404374,27.434343434343432,55.09958167533925,186.5045403530252
Eosinophil,6003.5,10380.5,0.366424560546875,0.633575439453125,0.9210526315789473,0.501545530492899,0.6938858067498844,0.22316277687124306,7,79.65863037109375,79.844482421875,184.66278076171875,166.85745582006717,100.3328465021177,150.55381919088651,17.055048757470903,65.13505295166195,209.15099087763448
Lymphocyte,5906.0,10478.0,0.3604736328125,0.6395263671875,0.8671875,0.4156813063063063,0.5346973880765923,0.15478830763523688,10,105.63720703125,71.7027587890625,176.5782470703125,153.74332000841574,90.5534399326741,144.84315169366715,39.15033439953475,45.64946205292236,220.43893573713288
Monocyte,3114.5,13269.5,0.190093994140625,0.809906005859375,0.6145833333333334,0.5498764124293786,0.8185282522996058,0.42117921051827173,14,114.1112060546875,85.44873046875,186.6151123046875,164.22344405396214,103.98412878358464,158.94977893662852,55.66349332275552,63.83022610075368,218.8821896072987
Neutrophil,4910.0,11474.0,0.2996826171875,0.7003173828125,1.2705882352941176,0.5348583877995643,0.654317697228145,0.1645121099435531,6,91.0855712890625,74.9703369140625,187.421875,159.8151487826871,97.41040834728841,145.06634033234573,29.19626493446236,54.76360051038162,225.56199976800835
